id,key,value,type
23226513,maxspeed,30,regular
23226513,name,57 Avenue NW,regular
23226513,surface,asphalt,regular
23226514,highway,residential,regular
23226514,lanes,2,regular
23226514,lit,yes,regular
23226514,maxspeed,60,regular
23226514,name,114 Street NW,regular
23226514,surface,asphalt,regular
23226516,lit,yes,regular
23226516,name,112 Street NW,regular
23226516,lanes,2,regular
23226516,highway,residential,regular
23226516,surface,asphalt,regular
23226518,lit,yes,regular
23226518,name,59 Avenue NW,regular
23226518,lanes,2,regular
23226518,highway,residential,regular
23226518,surface,asphalt,regular
23226519,lit,yes,regular
23226519,name,113 Street NW,regular
23226519,lanes,2,regular
23226519,highway,residential,regular
23226519,surface,asphalt,regular
23226520,name,58 Avenue NW,regular
23226520,lanes,2,regular
23226520,highway,residential,regular
23226520,surface,asphalt,regular
23226522,name,111A Street NW,regular
23226522,lanes,2,regular
23226522,highway,residential,regular
23226522,surface,asphalt,regular
23233499,name,67 Avenue NW,regular
23233499,highway,residential,regular
23233507,name,66 Avenue NW,regular
23233507,highway,residential,regular
23233512,name,105 Street NW,regular
23233512,lanes,2,regular
23233512,highway,residential,regular
23233512,surface,asphalt,regular
23233539,name,105A Street NW,regular
23233539,lanes,2,regular
23233539,highway,residential,regular
23233539,surface,asphalt,regular
23233542,name,63 Avenue NW,regular
23233542,lanes,2,regular
23233542,highway,residential,regular
23233542,surface,asphalt,regular
23233607,name,68 Avenue NW,regular
23233607,highway,residential,regular
23233622,name,69 Avenue NW,regular
23233622,highway,residential,regular
23233624,name,70 Avenue NW,regular
23233624,highway,residential,regular
23233656,name,71 Avenue NW,regular
23233656,highway,residential,regular
23233656,created_by,Potlatch 0.9c,regular
23233664,name,71 Avenue NW,regular
23233664,highway,unclassified,regular
23233664,created_by,Potlatch 0.9c,regular
23233683,name,65 Avenue NW,regular
23233683,highway,unclassified,regular
23233686,name,65 Avenue NW,regular
23233686,highway,residential,regular
23233687,name,104A Street NW,regular
23233687,highway,residential,regular
23233782,name,68 Avenue NW,regular
23233782,highway,residential,regular
23233791,name,107A Street NW,regular
23233791,lanes,2,regular
23233791,highway,residential,regular
23233791,surface,asphalt,regular
23233810,name,60 Avenue NW,regular
23233810,lanes,2,regular
23233810,bicycle,designated,regular
23233810,highway,residential,regular
23233810,surface,asphalt,regular
23233820,name,110 Street NW,regular
23233820,lanes,2,regular
23233820,highway,residential,regular
23233820,surface,asphalt,regular
23233825,name,54 Avenue NW,regular
23233825,lanes,2,regular
23233825,highway,residential,regular
23233825,surface,asphalt,regular
23233831,name,107 Street NW,regular
23233831,lanes,2,regular
23233831,highway,residential,regular
23233831,surface,asphalt,regular
23233843,name,109A Street NW,regular
23233843,lanes,2,regular
23233843,highway,residential,regular
23233843,surface,asphalt,regular
23233858,name,59 Avenue NW,regular
23233858,lanes,2,regular
23233858,highway,residential,regular
23233858,surface,asphalt,regular
23233861,name,58 Avenue NW,regular
23233861,lanes,2,regular
23233861,highway,residential,regular
23233861,surface,asphalt,regular
23233863,name,108 Street NW,regular
23233863,lanes,2,regular
23233863,highway,residential,regular
23233863,surface,asphalt,regular
23233903,name,108 Street NW,regular
23233903,lanes,2,regular
23233903,highway,residential,regular
23233903,surface,asphalt,regular
23233913,name,107 Street NW,regular
23233913,lanes,2,regular
23233913,highway,residential,regular
23233913,surface,asphalt,regular
23233914,name,53 Ave NW,regular
23233914,lanes,2,regular
23233914,oneway,yes,regular
23233914,highway,residential,regular
23233914,surface,asphalt,regular
23233915,name,108 St NW,regular
23233915,lanes,2,regular
23233915,highway,residential,regular
23233915,surface,asphalt,regular
23233916,name,107 St NW,regular
23233916,lanes,2,regular
23233916,highway,residential,regular
23233916,surface,asphalt,regular
23233926,name,52 Ave NW,regular
23233926,lanes,2,regular
23233926,oneway,yes,regular
23233926,highway,residential,regular
23233926,surface,asphalt,regular
23233965,name,110 St NW,regular
23233965,lanes,2,regular
