id,user,uid,version,changeset,timestamp
23233656,xelloss,26616,2,395228,2008-07-04T18:32:58Z
23233664,xelloss,26616,5,395228,2008-07-04T18:34:15Z
23233683,yegbin,3274426,5,40671452,2016-07-12T04:02:03Z
23233686,yegbin,3274426,10,40671452,2016-07-12T04:02:03Z
23233687,yegbin,3274426,7,40671727,2016-07-12T04:34:39Z
23233782,yegbin,3274426,5,40671452,2016-07-12T04:02:03Z
23233791,yegbin,3274426,4,40671506,2016-07-12T04:09:05Z
23233810,yegbin,3274426,9,41077651,2016-07-28T05:37:24Z
23233820,yegbin,3274426,4,41077651,2016-07-28T05:37:22Z
23233825,yegbin,3274426,5,41077651,2016-07-28T05:37:23Z
23233831,yegbin,3274426,10,41077651,2016-07-28T05:37:21Z
23233843,andrewpmk,1679,4,26753563,2014-11-13T11:06:43Z
23233858,yegbin,3274426,5,41077651,2016-07-28T05:37:24Z
23233861,yegbin,3274426,4,41077651,2016-07-28T05:37:24Z
23233863,yegbin,3274426,6,41077651,2016-07-28T05:37:21Z
23233903,yegbin,3274426,5,41077651,2016-07-28T05:37:21Z
23233913,ionutr_telenav,4930407,8,45507115,2017-01-26T10:16:09Z
23233914,ionutr_telenav,4930407,7,45507115,2017-01-26T10:16:09Z
23233915,yegbin,3274426,5,41077651,2016-07-28T05:37:21Z
23233916,andrewpmk,1679,4,26753563,2014-11-13T11:06:41Z
23233926,ionutr_telenav,4930407,6,45507115,2017-01-26T10:16:09Z
23233965,andrewpmk,1679,4,26753563,2014-11-13T11:06:44Z
23233982,andrewpmk,1679,3,26753563,2014-11-13T11:06:48Z
23234025,andrewpmk,1679,6,26753563,2014-11-13T11:06:49Z
23234029,andrewpmk,1679,5,26753563,2014-11-13T11:06:49Z
23234042,andrewpmk,1679,5,26753563,2014-11-13T11:06:45Z
23234045,andrewpmk,1679,6,26753563,2014-11-13T11:06:45Z
23234048,bwrasko,5450507,6,48979776,2017-05-25T17:21:48Z
23234059,andrewpmk,1679,4,26753563,2014-11-13T11:06:46Z
23234068,andrewpmk,1679,7,26753563,2014-11-13T11:06:46Z
23234070,andrewpmk,1679,5,26753563,2014-11-13T11:06:50Z
23234074,andrewpmk,1679,5,26753787,2014-11-13T11:21:16Z
23234076,andrewpmk,1679,4,26753563,2014-11-13T11:06:46Z
23234091,andrewpmk,1679,7,26753787,2014-11-13T11:21:16Z
23234102,andrewpmk,1679,3,26753563,2014-11-13T11:06:49Z
23234103,andrewpmk,1679,7,26753861,2014-11-13T11:24:08Z
23234161,andrewpmk,1679,5,26753861,2014-11-13T11:24:08Z
23234179,ionutr_telenav,4930407,7,45506268,2017-01-26T09:47:39Z
23234180,ionutr_telenav,4930407,8,45506268,2017-01-26T09:47:39Z
23234194,andrewpmk,1679,5,26753861,2014-11-13T11:24:07Z
23234225,xelloss,26616,3,395228,2008-07-04T17:34:24Z
23234227,xelloss,26616,3,395228,2008-07-04T17:34:49Z
23234231,xelloss,26616,4,395228,2008-07-04T17:34:34Z
23234245,xelloss,26616,2,395228,2008-07-04T17:34:50Z
23234247,OSMF Redaction Account,722137,8,12305317,2012-07-19T02:36:43Z
23234248,xelloss,26616,3,395228,2008-07-04T17:34:41Z
23234260,xelloss,26616,6,395228,2008-07-04T17:32:58Z
23234263,xelloss,26616,2,395228,2008-07-04T17:32:39Z
23234267,xelloss,26616,3,395228,2008-07-04T17:33:04Z
23234276,kc12345,351398,7,18097287,2013-09-29T18:00:38Z
23234279,xelloss,26616,4,395228,2008-07-04T17:32:55Z
23234286,xelloss,26616,3,395228,2008-07-04T17:33:19Z
23234288,xelloss,26616,3,395228,2008-07-04T17:33:23Z
23234293,xelloss,26616,3,395228,2008-07-04T17:33:28Z
23234320,xelloss,26616,4,395228,2008-07-04T17:33:36Z
23234321,xelloss,26616,5,395228,2008-07-04T17:33:52Z
23234330,xelloss,26616,3,395228,2008-07-04T17:33:43Z
23234332,xelloss,26616,3,395228,2008-07-04T17:33:45Z
23234335,calfarome,2511706,6,39081609,2016-05-03T21:06:33Z
23234343,JJones,432924,3,13317524,2012-10-01T04:21:00Z
23234409,Sundance,239998,10,33715862,2015-08-31T22:36:50Z
23234481,bogdanp_telenav,4433679,11,45853944,2017-02-06T13:33:03Z
23234488,Sundance,239998,9,33715795,2015-08-31T22:32:02Z
23234513,Viajero Perdido,2365330,15,30131044,2015-04-10T22:23:49Z
23234527,Viajero Perdido,2365330,9,37897161,2016-03-17T14:08:56Z
23234537,xelloss,26616,2,395228,2008-07-04T17:51:52Z
23234545,Sundance,239998,5,12122916,2012-07-05T18:18:43Z
23234593,Ranek,156121,9,16141690,2013-05-15T17:06:27Z
23234614,Ranek,156121,4,16141690,2013-05-15T17:06:27Z
23234619,ianb,185998,3,11325601,2012-04-16T19:03:51Z
23234625,Ranek,156121,4,16141690,2013-05-15T17:06:27Z
23234638,Sundance,239998,4,12122916,2012-07-05T18:10:35Z
23234643,Ranek,156121,4,16141690,2013-05-15T17:06:27Z
23234648,Ranek,156121,4,16141690,2013-05-15T17:06:27Z
23234655,Ranek,156121,4,16141690,2013-05-15T17:06:27Z
23234657,xelloss,26616,4,395228,2008-07-04T17:51:28Z
23234681,Sundance,239998,3,12122916,2012-07-05T18:01:01Z
23234695,Ranek,156121,7,16141690,2013-05-15T17:06:27Z
23234718,xelloss,26616,5,395228,2008-07-04T17:52:36Z
23234719,Ranek,156121,6,16141690,2013-05-15T17:06:27Z
23234724,Sundance,239998,4,12122916,2012-07-05T18:10:36Z
23234729,Sundance,239998,4,12122916,2012-07-05T18:18:43Z
23234731,Sundance,239998,4,12122916,2012-07-05T18:10:36Z
23234736,Sundance,239998,3,12122916,2012-07-05T18:18:43Z
23234782,Sundance,239998,12,35972733,2015-12-15T18:24:36Z
23234786,andrewpmk,1679,3,26753895,2014-11-13T11:26:02Z
23234787,andrewpmk,1679,5,26753881,2014-11-13T11:25:25Z
23234791,andrewpmk,1679,5,26753861,2014-11-13T11:24:08Z
23234793,andrewpmk,1679,6,26753895,2014-11-13T11:26:02Z
